    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  13.6439    4.5626  315.3750   22.5000   33.7500   22.5000  -10.3795
  13.6439    4.5626  337.8750   22.5000   33.7500   22.5000  -10.4169
  13.6439    4.5626  281.6250   45.0000   56.2500   22.5000  -10.2830
  13.6439    4.5626  326.6250   45.0000   56.2500   22.5000  -10.3314
  13.6439    4.5626  304.1250   90.0000   78.7500   22.5000  -10.2684
  18.2066    5.4752  113.6250   22.5000  -11.2500   22.5000  -10.3226
  18.2066    5.4752   91.1250   22.5000  -11.2500   22.5000  -10.4598
  18.2066    5.4752  113.6250   22.5000  -33.7500   22.5000  -10.3413
  18.2066    5.4752   91.1250   22.5000  -33.7500   22.5000  -10.4540
  18.2066    5.4752  136.1250   22.5000  -11.2500   22.5000  -10.2264
  18.2066    5.4752  158.6250   22.5000  -11.2500   22.5000  -10.1573
  18.2066    5.4752  136.1250   22.5000  -33.7500   22.5000  -10.2543
  18.2066    5.4752  158.6250   22.5000  -33.7500   22.5000  -10.1933
  18.2066    5.4752  102.3750   45.0000  -56.2500   22.5000  -10.4317
  18.2066    5.4752  147.3750   45.0000  -56.2500   22.5000  -10.3175
  18.2066    5.4752  124.8750   90.0000  -78.7500   22.5000  -10.4721
  18.2066    5.4752  113.6250   22.5000   11.2500   22.5000  -10.3128
  18.2066    5.4752   91.1250   22.5000   11.2500   22.5000  -10.4269
  18.2066    5.4752  113.6250   22.5000   33.7500   22.5000  -10.3411
  18.2066    5.4752   91.1250   22.5000   33.7500   22.5000  -10.4546
  18.2066    5.4752  136.1250   22.5000   11.2500   22.5000  -10.2300
  18.2066    5.4752  158.6250   22.5000   11.2500   22.5000  -10.1738
  18.2066    5.4752  136.1250   22.5000   33.7500   22.5000  -10.2562
  18.2066    5.4752  158.6250   22.5000   33.7500   22.5000  -10.2017
  18.2066    5.4752  102.3750   45.0000   56.2500   22.5000  -10.4316
  18.2066    5.4752  147.3750   45.0000   56.2500   22.5000  -10.2954
  18.2066    5.4752  124.8750   90.0000   78.7500   22.5000  -10.4600
  18.2066    5.4752  226.1250   22.5000  -11.2500   22.5000  -10.2585
  18.2066    5.4752  248.6250   22.5000  -11.2500   22.5000  -10.3597
  18.2066    5.4752  226.1250   22.5000  -33.7500   22.5000  -10.2719
  18.2066    5.4752  248.6250   22.5000  -33.7500   22.5000  -10.3692
  18.2066    5.4752  203.6250   22.5000  -11.2500   22.5000  -10.1811
  18.2066    5.4752  181.1250   22.5000  -11.2500   22.5000  -10.1364
  18.2066    5.4752  203.6250   22.5000  -33.7500   22.5000  -10.2149
  18.2066    5.4752  181.1250   22.5000  -33.7500   22.5000  -10.1772
  18.2066    5.4752  237.3750   45.0000  -56.2500   22.5000  -10.3631
  18.2066    5.4752  192.3750   45.0000  -56.2500   22.5000  -10.2897
  18.2066    5.4752  214.8750   90.0000  -78.7500   22.5000  -10.4504
  18.2066    5.4752  226.1250   22.5000   11.2500   22.5000  -10.2678
  18.2066    5.4752  248.6250   22.5000   11.2500   22.5000  -10.3742
  18.2066    5.4752  226.1250   22.5000   33.7500   22.5000  -10.2710
  18.2066    5.4752  248.6250   22.5000   33.7500   22.5000  -10.3794
  18.2066    5.4752  203.6250   22.5000   11.2500   22.5000  -10.1814
  18.2066    5.4752  181.1250   22.5000   11.2500   22.5000  -10.1498
  18.2066    5.4752  203.6250   22.5000   33.7500   22.5000  -10.2064
  18.2066    5.4752  181.1250   22.5000   33.7500   22.5000  -10.1759
  18.2066    5.4752  237.3750   45.0000   56.2500   22.5000  -10.3649
